time, mean_OMTO3d_003_ColumnAmountO3
2005-01-01,291.258148
2005-01-02,298.333496
2005-01-03,308.769775
2005-01-04,313.329834
2005-01-05,310.476166
2005-01-06,309.080658
2005-01-07,307.332581
2005-01-08,320.783386
2005-01-09,316.902802
2005-01-10,323.170807
2005-01-11,332.577362
2005-01-12,328.368378
2005-01-13,326.597321
2005-01-14,328.897766
2005-01-15,323.694183
2005-01-16,311.915161
2005-01-17,313.409821
2005-01-18,314.608551
2005-01-19,313.307922
2005-01-20,313.944672
2005-01-21,-1.267651e+30
2005-01-22,320.019012
2005-01-23,322.407806
2005-01-24,318.158722
2005-01-25,312.205078
2005-01-26,315.253571
2005-01-27,316.300171
2005-01-28,318.352478
2005-01-29,316.714752
2005-01-30,311.972839
2005-01-31,318.21106
2005-02-01,325.090454
2005-02-02,330.423981
2005-02-03,333.068634
2005-02-04,330.118927
2005-02-05,326.470825
2005-02-06,321.804688
2005-02-07,317.431213
2005-02-08,320.987915
2005-02-09,327.497559
2005-02-10,325.611481
2005-02-11,322.976776
2005-02-12,327.513763
2005-02-13,332.355957
2005-02-14,333.624451
2005-02-15,328.427582
2005-02-16,320.040375
2005-02-17,312.410828
2005-02-18,314.669312
2005-02-19,334.53241
2005-02-20,344.41803
2005-02-21,345.705811
2005-02-22,-1.267651e+30
2005-02-23,334.146484
2005-02-24,334.883148
2005-02-25,330.627899
2005-02-26,325.890747
2005-02-27,321.755035
2005-02-28,323.410828
2005-03-01,324.095245
2005-03-02,330.147491
2005-03-03,344.442902
2005-03-04,344.694061
2005-03-05,326.457092
2005-03-06,315.589508
2005-03-07,326.799164
2005-03-08,331.318817
2005-03-09,326.631714
2005-03-10,331.283722
2005-03-11,332.307709
2005-03-12,324.31955
2005-03-13,310.689087
2005-03-14,311.067291
2005-03-15,313.549133
2005-03-16,308.390289
2005-03-17,315.016479
2005-03-18,313.464874
2005-03-19,312.223297
2005-03-20,312.616699
2005-03-21,310.991974
2005-03-22,319.798187
2005-03-23,322.788849
2005-03-24,320.596802
2005-03-25,319.77948
2005-03-26,-1.267651e+30
2005-03-27,320.935699
2005-03-28,326.672455
2005-03-29,321.569519
2005-03-30,322.38736
2005-03-31,323.203033
2005-04-01,323.568115
2005-04-02,329.056549
2005-04-03,330.493103
2005-04-04,330.619629
2005-04-05,321.021606
2005-04-06,322.678802
2005-04-07,323.450226
2005-04-08,316.685059
2005-04-09,323.934601
2005-04-10,327.741333
2005-04-11,325.156433
2005-04-12,332.241119
2005-04-13,335.276581
2005-04-14,338.326141
2005-04-15,339.463989
2005-04-16,337.573273
2005-04-17,335.523163
2005-04-18,332.176971
2005-04-19,337.469696
2005-04-20,340.864868
2005-04-21,334.153351
2005-04-22,329.013275
2005-04-23,330.485779
2005-04-24,333.930939
2005-04-25,330.453094
2005-04-26,326.69458
2005-04-27,-1.267651e+30
2005-04-28,321.388153
2005-04-29,314.231598
2005-04-30,309.483704
2005-05-01,314.566833
2005-05-02,315.66153
2005-05-03,310.292267
2005-05-04,304.216736
2005-05-05,305.912048
