time,mean_OMTO3d_003_ColumnAmountO3
2005-01-01,255.021057
2005-01-02,268.722107
2005-01-03,250.931549
2005-01-04,253.512497
2005-01-05,259.437683
2005-01-06,251.867493
2005-01-07,262.683868
2005-01-08,290.237488
2005-01-09,264.296082
2005-01-10,276.278992
2005-01-11,293.543243
2005-01-12,291.168152
2005-01-13,302.269135
2005-01-14,297.434845
2005-01-15,283.790741
2005-01-16,316.719696
2005-01-17,324.492706
2005-01-18,389.079773
2005-01-19,347.510376
2005-01-20,303.904999
2005-01-21,-1.267651e+30
2005-01-22,335.687103
2005-01-23,374.120026
2005-01-24,400.232513
2005-01-25,411.005798
2005-01-26,399.375519
2005-01-27,383.134186
2005-01-28,317.687592
2005-01-29,300.910583
2005-01-30,296.656952
2005-01-31,271.805054
2005-02-01,280.401489
2005-02-02,292.51181
2005-02-03,283.253906
2005-02-04,292.480835
2005-02-05,314.949554
2005-02-06,336.49054
2005-02-07,370.803131
2005-02-08,367.300293
2005-02-09,372.599335
2005-02-10,343.607758
2005-02-11,320.983551
2005-02-12,310.551849
2005-02-13,359.492767
2005-02-14,379.7099
2005-02-15,396.760529
2005-02-16,393.904816
2005-02-17,343.355225
2005-02-18,324.144958
2005-02-19,348.44577
2005-02-20,386.214111
2005-02-21,391.668549
2005-02-22,-1.267651e+30
2005-02-23,406.566315
2005-02-24,391.427521
2005-02-25,375.112915
2005-02-26,369.927399
2005-02-27,347.415649
2005-02-28,328.143585
2005-03-01,323.204193
2005-03-02,384.826447
2005-03-03,430.267761
2005-03-04,409.951111
2005-03-05,388.907898
2005-03-06,391.610168
2005-03-07,390.309143
2005-03-08,372.847504
2005-03-09,367.808563
2005-03-10,359.160217
2005-03-11,337.728455
2005-03-12,327.402649
2005-03-13,322.040741
2005-03-14,309.113556
2005-03-15,313.435303
2005-03-16,306.920502
2005-03-17,317.718658
2005-03-18,295.442871
2005-03-19,265.870758
2005-03-20,280.184082
2005-03-21,267.193268
2005-03-22,304.66806
2005-03-23,327.062317
2005-03-24,351.334259
2005-03-25,344.591827
2005-03-26,-1.267651e+30
2005-03-27,397.244171
2005-03-28,374.433685
2005-03-29,361.736359
2005-03-30,360.552307
2005-03-31,360.410828
2005-04-01,340.719757
2005-04-02,347.927277
2005-04-03,354.193329
2005-04-04,354.140015
2005-04-05,335.385864
2005-04-06,332.67807
2005-04-07,360.800873
2005-04-08,381.787262
2005-04-09,381.661469
2005-04-10,352.524902
2005-04-11,344.790649
2005-04-12,334.940826
2005-04-13,344.089813
2005-04-14,382.36319
2005-04-15,407.413666
2005-04-16,423.005066
2005-04-17,381.304169
2005-04-18,391.792694
2005-04-19,419.682678
2005-04-20,418.775726
2005-04-21,389.978912
2005-04-22,349.411499
2005-04-23,356.593781
2005-04-24,365.307037
2005-04-25,380.1716
2005-04-26,360.049316
2005-04-27,-1.267651e+30
2005-04-28,315.502625
2005-04-29,312.092651
2005-04-30,312.392578
2005-05-01,304.385162
2005-05-02,316.688507
2005-05-03,348.832642
2005-05-04,362.639313
2005-05-05,364.298859
