time, mean_OMTO3d_003_ColumnAmountO3
2005-01-01,290.357727
2005-01-02,294.303711
2005-01-03,290.603271
2005-01-04,297.712524
2005-01-05,302.90094
2005-01-06,300.350891
2005-01-07,295.62851
2005-01-08,299.679565
2005-01-09,298.097412
2005-01-10,303.516144
2005-01-11,313.378479
2005-01-12,314.774628
2005-01-13,312.835876
2005-01-14,315.037872
2005-01-15,314.006073
2005-01-16,317.131012
2005-01-17,317.712433
2005-01-18,318.365601
2005-01-19,317.022644
2005-01-20,387.464417
2005-01-21,306.534241
2005-01-22,307.954956
2005-01-23,298.413116
2005-01-24,291.918213
2005-01-25,292.760468
2005-01-26,300.833313
2005-01-27,306.358398
2005-01-28,309.059906
2005-01-29,318.578827
2005-01-30,317.34317
2005-01-31,312.517609
2005-02-01,322.018677
2005-02-02,322.224426
2005-02-03,318.696289
2005-02-04,317.961395
2005-02-05,316.278381
2005-02-06,317.28006
2005-02-07,326.483429
2005-02-08,332.429871
2005-02-09,335.154785
2005-02-10,340.041595
2005-02-11,338.346436
2005-02-12,333.276855
2005-02-13,322.89035
2005-02-14,332.180664
2005-02-15,332.617371
2005-02-16,330.153229
2005-02-17,337.954651
2005-02-18,342.699921
2005-02-19,339.99173
2005-02-20,337.953094
2005-02-21,439.186432
2005-02-22,348.206329
2005-02-23,345.022797
2005-02-24,344.154633
2005-02-25,343.252319
2005-02-26,340.567413
2005-02-27,348.012909
2005-02-28,360.341339
2005-03-01,370.682159
2005-03-02,371.298737
2005-03-03,361.054871
2005-03-04,357.447693
2005-03-05,350.402954
2005-03-06,343.912079
2005-03-07,350.250122
2005-03-08,360.066132
2005-03-09,363.289307
2005-03-10,357.934601
2005-03-11,351.283173
2005-03-12,345.26828
2005-03-13,345.506439
2005-03-14,347.577393
2005-03-15,342.109955
2005-03-16,343.932068
2005-03-17,355.291901
2005-03-18,366.192657
2005-03-19,363.780396
2005-03-20,364.395691
2005-03-21,363.567261
2005-03-22,360.375366
2005-03-23,358.286194
2005-03-24,360.099121
2005-03-25,365.495941
2005-03-26,358.76593
2005-03-27,356.89743
2005-03-28,363.582001
2005-03-29,363.147461
2005-03-30,363.838837
2005-03-31,358.593689
2005-04-01,356.416138
2005-04-02,361.362122
2005-04-03,360.262665
2005-04-04,356.842316
2005-04-05,343.621246
2005-04-06,336.093048
2005-04-07,340.142944
2005-04-08,355.981079
2005-04-09,339.626709
2005-04-10,333.03009
2005-04-11,333.890808
2005-04-12,343.740479
2005-04-13,352.920105
2005-04-14,351.330536
2005-04-15,345.811859
2005-04-16,347.001007
2005-04-17,345.039734
2005-04-18,342.033356
2005-04-19,337.265564
2005-04-20,332.492035
2005-04-21,331.685883
2005-04-22,331.96283
2005-04-23,338.935089
2005-04-24,346.832275
